release,method,path,className,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
4.2.0,clearBookieId,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/DataFormats.java,DataFormats$LockDataFormat$Builder,6,1,2,0,0,1,0,2,205,2,6,1,false
4.2.0,format,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,Bookie,40,11,6,1,1,5,1,2,412,3,50,4,false
4.1.0,listJournalIds,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,Bookie,22,5,5,0,0,1,3,1,196,3,33,2,false
4.1.0,getHandle,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,Bookie,16,3,3,0,0,1,1,6,196,3,33,0,false
4.1.0,isInitialized,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$LedgerRanges,6,3,0,0,0,2,1,2,196,1,2,0,true
4.0.0,accept,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,Bookie,6,2,0,0,0,2,0,0,4,3,13,0,false
4.1.0,run,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,BookkeeperPersistenceManager$UpdateLedgerOp,39,5,6,0,0,1,0,6,0,1,3,5,true
4.2.0,setSubscribeResponse,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$ResponseBody$Builder,11,2,2,0,0,1,1,1,4,2,14,0,false
4.2.0,getSubscriberId,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$PubSubResponse,3,1,0,0,0,1,5,0,412,2,16,0,false
4.2.0,hasResponseBody,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$PubSubResponseOrBuilder,1,1,0,0,0,0,0,0,4,2,14,0,false
4.0.0,tick,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,CallbackUtils,10,3,0,0,0,0,3,3,4,2,3,0,false
4.2.0,readEntryComplete,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,ReadLastConfirmedOp,34,13,8,2,1,1,0,1,666,2,13,2,false
4.1.0,mergeFrom,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$LedgerRanges$Builder,9,2,0,0,0,2,4,1,196,1,2,0,true
4.2.0,getDescriptor,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/DataFormats.java,DataFormats$LockDataFormat,3,1,0,0,0,1,1,0,205,2,6,0,false
4.2.0,hasSubscriberId,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$CloseSubscriptionRequest$Builder,3,2,0,0,0,1,1,0,4,2,14,0,false
4.2.0,buildPartial,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$SubscriptionData$Builder,26,7,10,0,0,1,3,1,4,2,14,0,false
4.2.0,setOptions,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$SubscriptionPreferences$Builder,14,3,2,0,0,1,4,0,4,2,14,0,false
4.2.0,hasType,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$PubSubRequestOrBuilder,1,1,0,0,0,0,0,0,4,2,14,0,false
4.1.0,addListener,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java,SubscriptionManager,1,1,0,0,0,0,1,0,196,1,2,0,false
4.1.0,getNumRequestsRedirect,hedwig-server/src/main/java/org/apache/hedwig/server/netty/ServerStats.java,ServerStats,3,1,0,0,0,1,0,0,75,1,1,0,true
4.1.0,internalGetResult,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$PublishRequest$Builder,3,1,0,0,0,1,0,0,196,1,2,0,true
4.2.0,getReplica,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/DataFormats.java,DataFormats$UnderreplicatedLedgerFormat,3,1,0,0,0,1,0,0,205,2,6,0,false
4.1.0,getSerializedSize,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$PubSubResponse,29,9,11,0,0,2,1,16,196,1,2,9,true
4.2.0,writeTo,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/DataFormats.java,DataFormats$UnderreplicatedLedgerFormat,7,2,1,0,0,0,0,1,205,2,6,1,false
4.2.0,writeTo,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$ManagerMeta,10,5,0,0,0,0,0,2,4,2,14,1,false
4.2.0,internalGetFieldAccessorTable,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/DataFormats.java,DataFormats$CookieFormat,3,1,0,0,0,1,0,0,205,2,6,0,false
4.1.0,startReadingFrom,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,BookkeeperPersistenceManager$RangeScanOp,14,3,2,1,0,1,2,3,196,1,5,2,true
