release,method,path,className,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
0.9.6,isVariable,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Extension.java,Extension,3,1,0,0,0,1,0,0,168,1,6,0,false
0.9.6,nontransactionalAll,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/OpenJPAEntityManager.java,OpenJPAEntityManager,1,1,0,0,0,0,0,0,185,2,6,0,false
0.9.0,isClosed,openjpa-lib/src/main/java/org/apache/openjpa/lib/rop/ResultList.java,ResultList,1,1,0,0,0,0,3,0,0,1,4,0,false
0.9.0,setContext,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DataCacheStoreManager.java,DataCacheStoreManager,5,1,2,0,0,0,0,0,45,4,9,2,false
0.9.6,update,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/MaxEmbeddedByteArrayFieldStrategy.java,MaxEmbeddedByteArrayFieldStrategy,5,3,1,0,0,0,0,0,168,1,2,0,false
0.9.6,setFlag,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Column.java,Column,4,2,2,0,0,0,4,0,168,1,2,0,false
0.9.6,serializing,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/StateManager.java,StateManager,1,1,0,0,0,0,0,0,185,1,4,0,false
0.9.0,doWriteObject,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/ReferenceHashMap.java,ReferenceHashMap,4,1,0,0,0,0,0,0,0,1,4,0,false
0.9.0,keyRemoved,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/AbstractDataCache.java,AbstractDataCache,4,4,0,0,0,0,1,5,45,2,5,0,false
0.9.0,isWarnEnabled,openjpa-lib/src/main/java/org/apache/openjpa/lib/log/NoneLogFactory.java,NoneLogFactory$NoneLog,3,1,0,0,0,1,0,0,0,1,5,0,false
0.9.6,addToPendingTransaction,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/BrokerImpl.java,BrokerImpl,10,2,1,0,1,0,1,2,185,4,30,0,false
0.9.0,isClassElementName,openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/CFMetaDataParser.java,CFMetaDataParser,3,1,0,0,0,1,2,0,0,1,5,0,false
0.9.0,getDefaultAccessType,openjpa-kernel/src/main/java/org/apache/openjpa/meta/MetaDataDefaults.java,MetaDataDefaults,1,1,0,0,0,0,1,0,45,1,4,0,false
0.9.0,skipFieldOrMethod,openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/ClassAnnotationMetaDataFilter.java,ClassAnnotationMetaDataFilter,10,2,5,3,0,1,1,0,0,2,5,0,false
0.9.0,unlock,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingBroker.java,DelegatingBroker,8,2,0,0,1,0,0,2,45,3,6,1,false
0.9.6,appendTo,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/IsNotEmptyExpression.java,IsNotEmptyExpression,5,1,0,0,0,0,0,0,168,1,4,0,false
0.9.0,setMetaData,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Const.java,Const,3,1,1,0,0,0,0,0,37,2,4,0,false
0.9.0,getAutoDistinct,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/LogicalUnion.java,LogicalUnion,3,1,0,0,0,1,0,1,37,2,4,0,false
0.9.6,getSequence,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAConfigurationImpl.java,OpenJPAConfigurationImpl,3,1,0,0,0,1,0,0,185,3,23,0,false
0.9.6,nullId,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SelectImpl.java,SelectImpl,4,2,0,0,0,2,4,1,168,2,13,0,false
0.9.0,hasListener,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/AbstractEventManager.java,AbstractEventManager,3,2,0,0,0,1,0,0,0,1,4,0,false
0.9.0,namedStrategy,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingRepository.java,MappingRepository,5,2,1,0,0,2,0,2,37,2,4,1,false
0.9.6,replaceCharField,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachedStateManager.java,DetachedStateManager,3,1,0,0,0,1,0,0,185,2,11,0,false
0.9.0,tryLock,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/concurrent/ReentrantLock.java,ReentrantLock,3,1,0,0,0,1,0,1,0,1,6,0,false
0.9.6,setCascadeAttach,openjpa-kernel/src/main/java/org/apache/openjpa/meta/FieldMetaData.java,FieldMetaData,3,1,0,0,0,0,0,1,185,2,15,0,false
0.9.6,isGetter,openjpa-kernel/src/main/java/org/apache/openjpa/meta/InterfaceImplGenerator.java,InterfaceImplGenerator,10,5,1,1,1,3,1,3,0,2,2,1,false
0.9.6,settingDoubleField,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachedStateManager.java,DetachedStateManager,13,3,1,0,1,1,0,3,185,2,11,0,false
0.9.0,initialize,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SubQ.java,SubQ,2,1,0,0,0,0,1,0,37,2,4,0,false
0.9.0,isVariable,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Aggregate.java,Aggregate,3,1,0,0,0,1,0,0,37,2,5,0,false
0.9.0,singleResult,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/QueryImpl.java,QueryImpl,19,6,3,1,1,3,2,1,45,2,8,0,false
0.9.0,containsAll,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/BrokerImpl.java,BrokerImpl$TransactionalCache,4,3,1,0,0,2,0,1,45,3,11,0,false
