release,method,path,className,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
4.1.0,writeLedgerConfig,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,LedgerHandle,6,2,0,1,0,0,5,2,196,3,20,0,true
4.1.0,getZkHostsPrefix,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,ServerConfiguration,3,1,0,0,0,1,0,1,196,1,3,0,true
4.2.0,getResponseHandlerFromChannel,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,HedwigClientImpl,3,1,0,0,0,1,17,0,442,2,10,0,false
4.2.0,operationFailed,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java,ReadAheadCache$PersistCallback,6,1,3,0,0,0,0,2,412,2,12,0,false
4.2.0,onLastLocalUnsubscribe,hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java,RegionManager,35,1,0,0,0,0,0,2,412,1,8,0,false
4.2.1,connect,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,PerChannelBookieClient,42,1,2,0,0,0,1,1,482,2,28,0,false
4.2.0,isInitialized,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$Message$Builder,11,4,0,0,0,3,0,4,412,2,16,0,false
4.2.1,processResult,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,HierarchicalLedgerManager,48,3,4,1,1,2,0,11,490,1,10,0,false
4.2.0,loadConfFile,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,BookieServer,14,3,0,3,1,0,1,0,412,3,29,0,true
4.2.1,getMaximumCacheSize,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,ServerConfiguration,3,1,0,2,0,1,4,0,482,2,18,0,false
4.0.0,processResult,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,BookKeeperAdmin,8,2,0,0,0,1,0,16,40,2,5,0,false
4.2.1,shutdown,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieNettyServer.java,BookieNettyServer,5,1,0,0,0,0,1,0,42,1,1,0,false
4.2.0,close,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/IOUtils.java,IOUtils,14,6,0,1,1,0,0,0,287,1,1,0,false
4.1.0,getMsg,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$PublishRequest,3,1,0,0,0,1,5,0,196,1,2,0,true
4.2.0,clearSubscriberId,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$ConsumeRequest$Builder,6,1,2,0,0,1,0,2,412,2,16,0,false
4.2.0,deleteComplete,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,BookKeeper$SyncDeleteCallback,5,1,1,0,0,0,0,0,412,3,24,0,false
4.2.0,safeProcessResult,hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java,ZkTopicManager,38,5,4,4,1,4,0,10,412,1,5,0,true
4.2.0,runCmd,hedwig-server/src/main/java/org/apache/hedwig/admin/console/HedwigConsole.java,HedwigConsole$ConsumeToCmd,16,3,4,0,1,2,0,4,216,2,8,0,true
4.0.0,doPublish,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,HedwigPublisher,21,4,6,1,0,0,2,3,4,2,4,0,false
4.2.0,mergeFrom,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$UnsubscribeRequest$Builder,27,5,4,0,0,2,4,0,412,2,16,0,false
4.2.0,fenceLedger,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,Bookie,20,2,4,1,0,2,2,4,412,3,50,0,true
4.2.0,newBuilderForType,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$ConsumeRequest,4,1,1,0,0,1,0,1,412,2,16,0,false
4.1.0,usage,hedwig-server/src/main/java/org/apache/hedwig/admin/console/HedwigConsole.java,HedwigConsole,9,2,0,1,0,0,2,1,0,1,1,0,true
4.2.0,onShutdown,hedwig-server/src/main/java/org/apache/hedwig/server/topics/MMTopicManager.java,MMTopicManager,3,1,0,0,0,0,0,0,165,1,1,0,false
4.2.1,run,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,FIFODeliveryManager$DeliveryWorker,21,5,2,0,1,0,0,2,1,1,3,0,false
4.2.0,mergePublishedMsgId,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$PublishResponse$Builder,16,5,3,0,0,1,1,4,4,2,14,0,false
4.2.0,writeTo,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$Message,16,9,0,0,0,0,0,1,412,2,16,0,false
4.1.0,getLinkMultArgLength,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/HardLink.java,HardLink$HardLinkCGUnix,9,3,4,2,0,1,0,1,90,1,1,0,true
4.1.0,runCmd,hedwig-server/src/main/java/org/apache/hedwig/admin/console/HedwigConsole.java,HedwigConsole$DescribeCmd,11,3,0,0,0,3,0,1,0,1,1,0,true
4.1.0,process,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java,FileSystemUpgrade,5,2,0,0,0,0,0,2,0,2,3,0,true
4.2.0,getDefaultInstanceForType,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$SubscribeRequest$Builder,3,1,0,0,0,1,0,1,412,2,16,0,false
4.1.0,isInitialized,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$LedgerRange,7,4,0,0,0,3,2,3,196,1,2,0,true
4.1.0,doConsume,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,HedwigSubscriber,22,2,4,1,0,0,2,1,196,1,7,0,true
4.2.1,finalizeUpgrade,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java,FileSystemUpgrade,33,9,3,0,1,0,1,3,286,1,6,0,false
4.1.0,clearMessage,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$PubSubResponse$Builder,5,1,2,0,0,1,0,1,196,1,2,0,true
4.2.0,clearJournalDir,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/DataFormats.java,DataFormats$CookieFormat$Builder,6,1,2,0,0,1,0,2,205,2,6,0,false
4.2.1,getLastLogId,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,EntryLogger,27,5,5,1,1,3,3,2,482,1,27,0,false
4.2.1,doPersistMessage,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,BookkeeperPersistenceManager,81,9,10,3,0,3,2,10,482,1,17,0,false
4.1.0,getLeastSubscription,hedwig-server/src/main/java/org/apache/hedwig/admin/console/ReadTopic.java,ReadTopic,17,5,5,0,0,2,1,1,0,1,1,0,true
4.2.0,build,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$CloseSubscriptionRequest$Builder,7,2,1,0,0,1,1,2,4,2,14,0,false
4.2.0,build,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$HubInfoData$Builder,7,2,1,0,0,1,1,2,4,2,14,0,false
4.2.0,build,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$SubscriptionPreferences$Builder,7,2,1,0,0,1,5,2,4,2,14,0,false
4.2.0,handleSubscribeMessage,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,SubscribeResponseHandler,16,5,2,1,0,0,2,3,412,2,13,0,false
4.2.0,getPageLimit,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java,LedgerCacheImpl,3,1,0,0,0,1,0,1,384,2,15,0,true
4.2.0,buildPartial,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$MessageSeqId$Builder,22,6,10,0,0,1,13,1,412,2,16,0,false
4.2.0,completeTopic,hedwig-server/src/main/java/org/apache/hedwig/admin/console/JLineHedwigCompletor.java,JLineHedwigCompletor,17,6,3,1,1,2,1,1,216,1,1,0,false
4.0.0,unsetSuccessAndSendWriteRequest,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,PendingAddOp,20,6,2,2,0,2,1,2,4,2,3,0,false
4.1.0,isInitialized,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$ConsumeRequest,6,4,0,0,0,4,2,2,196,1,2,0,true
4.1.0,buildParsed,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$SubscriptionOptions$Builder,6,2,0,0,0,1,2,2,0,1,1,0,true
4.2.0,toString,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,PubSubData,31,17,1,10,0,1,0,2,412,2,5,0,false
4.0.0,toString,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,NIOServerFactory$Cnxn$CnxnStats,8,2,2,0,0,1,0,3,4,3,7,0,false
4.1.0,getPipeline,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,PerChannelBookieClient,10,2,2,0,0,1,0,1,196,3,18,0,true
4.1.0,refreshRegionList,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,ServerConfiguration,9,2,3,0,0,0,2,0,196,1,3,0,true
4.2.0,clone,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$SubscribeRequest$Builder,3,1,0,0,0,1,0,3,412,2,16,0,false
4.0.0,getLedgerDirNames,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,ServerConfiguration,7,2,1,0,0,2,2,0,18,2,3,0,false
4.0.0,grabCleanPage,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,LedgerCache,52,12,6,2,0,2,2,10,4,2,6,0,false
4.1.0,getDefaultInstanceForType,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$PubSubRequest$Builder,3,1,0,0,0,1,0,1,196,1,2,0,true
4.2.1,rollback,hedwig-client-jms/src/main/java/org/apache/hedwig/jms/SessionImpl.java,SessionImpl$TransactedReceiveOperation,21,5,1,0,1,0,0,1,1,1,1,0,false
4.2.0,parseOptions,hedwig-server/src/main/java/org/apache/hedwig/admin/console/HedwigConsole.java,HedwigConsole$MyCommandOptions,26,5,5,1,1,3,1,0,216,2,8,0,true
4.2.0,getDescriptorForType,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$SubscriptionData$Builder,3,1,0,0,0,1,0,1,4,2,14,0,false
